model,T,B,p,prediction_error,relative_prediction_error
exact,3,10,3,0,0.0
gaussian_noise,3,10,3,0,0.0
uniform_noise,3,10,4,1,0.3333333333333333
biased_overestimate,3,10,10,7,2.3333333333333335
biased_underestimate,3,10,0,3,1.0
adversarial_wrong,3,10,50,47,15.666666666666666
exact,8,10,8,0,0.0
gaussian_noise,8,10,8,0,0.0
uniform_noise,8,10,9,1,0.125
biased_overestimate,8,10,16,8,1.0
biased_underestimate,8,10,0,8,1.0
adversarial_wrong,8,10,50,42,5.25
exact,10,10,10,0,0.0
gaussian_noise,10,10,10,0,0.0
uniform_noise,10,10,11,1,0.1
biased_overestimate,10,10,18,8,0.8
biased_underestimate,10,10,2,8,0.8
adversarial_wrong,10,10,1,9,0.9
exact,30,10,30,0,0.0
gaussian_noise,30,10,30,0,0.0
uniform_noise,30,10,31,1,0.03333333333333333
biased_overestimate,30,10,38,8,0.26666666666666666
biased_underestimate,30,10,22,8,0.26666666666666666
adversarial_wrong,30,10,1,29,0.9666666666666667
