prediction_mode,lambda,T,B,p,buy_day,OPT,ALG_learning_augmented,cost_ratio,prediction_error,relative_prediction_error
exact,0.5,1,10,1,10,1,1,1.0,0,0.0
exact,0.5,2,10,2,10,2,2,1.0,0,0.0
exact,0.5,3,10,3,10,3,3,1.0,0,0.0
exact,0.5,4,10,4,10,4,4,1.0,0,0.0
exact,0.5,5,10,5,10,5,5,1.0,0,0.0
exact,0.5,6,10,6,10,6,6,1.0,0,0.0
exact,0.5,7,10,7,10,7,7,1.0,0,0.0
exact,0.5,8,10,8,10,8,8,1.0,0,0.0
exact,0.5,9,10,9,10,9,9,1.0,0,0.0
exact,0.5,10,10,10,5,10,14,1.4,0,0.0
exact,0.5,11,10,11,5,10,14,1.4,0,0.0
exact,0.5,12,10,12,5,10,14,1.4,0,0.0
exact,0.5,13,10,13,5,10,14,1.4,0,0.0
exact,0.5,14,10,14,5,10,14,1.4,0,0.0
exact,0.5,15,10,15,5,10,14,1.4,0,0.0
exact,0.5,16,10,16,5,10,14,1.4,0,0.0
exact,0.5,17,10,17,5,10,14,1.4,0,0.0
exact,0.5,18,10,18,5,10,14,1.4,0,0.0
exact,0.5,19,10,19,5,10,14,1.4,0,0.0
exact,0.5,20,10,20,5,10,14,1.4,0,0.0
exact,0.5,21,10,21,5,10,14,1.4,0,0.0
exact,0.5,22,10,22,5,10,14,1.4,0,0.0
exact,0.5,23,10,23,5,10,14,1.4,0,0.0
exact,0.5,24,10,24,5,10,14,1.4,0,0.0
exact,0.5,25,10,25,5,10,14,1.4,0,0.0
exact,0.5,26,10,26,5,10,14,1.4,0,0.0
exact,0.5,27,10,27,5,10,14,1.4,0,0.0
exact,0.5,28,10,28,5,10,14,1.4,0,0.0
exact,0.5,29,10,29,5,10,14,1.4,0,0.0
exact,0.5,30,10,30,5,10,14,1.4,0,0.0
exact,0.5,31,10,31,5,10,14,1.4,0,0.0
exact,0.5,32,10,32,5,10,14,1.4,0,0.0
exact,0.5,33,10,33,5,10,14,1.4,0,0.0
exact,0.5,34,10,34,5,10,14,1.4,0,0.0
exact,0.5,35,10,35,5,10,14,1.4,0,0.0
exact,0.5,36,10,36,5,10,14,1.4,0,0.0
exact,0.5,37,10,37,5,10,14,1.4,0,0.0
exact,0.5,38,10,38,5,10,14,1.4,0,0.0
exact,0.5,39,10,39,5,10,14,1.4,0,0.0
exact,0.5,40,10,40,5,10,14,1.4,0,0.0
exact,0.5,41,10,41,5,10,14,1.4,0,0.0
exact,0.5,42,10,42,5,10,14,1.4,0,0.0
exact,0.5,43,10,43,5,10,14,1.4,0,0.0
exact,0.5,44,10,44,5,10,14,1.4,0,0.0
exact,0.5,45,10,45,5,10,14,1.4,0,0.0
exact,0.5,46,10,46,5,10,14,1.4,0,0.0
exact,0.5,47,10,47,5,10,14,1.4,0,0.0
exact,0.5,48,10,48,5,10,14,1.4,0,0.0
exact,0.5,49,10,49,5,10,14,1.4,0,0.0
exact,0.5,50,10,50,5,10,14,1.4,0,0.0
exact,0.75,1,10,1,10,1,1,1.0,0,0.0
exact,0.75,2,10,2,10,2,2,1.0,0,0.0
exact,0.75,3,10,3,10,3,3,1.0,0,0.0
exact,0.75,4,10,4,10,4,4,1.0,0,0.0
exact,0.75,5,10,5,10,5,5,1.0,0,0.0
exact,0.75,6,10,6,10,6,6,1.0,0,0.0
exact,0.75,7,10,7,10,7,7,1.0,0,0.0
exact,0.75,8,10,8,10,8,8,1.0,0,0.0
exact,0.75,9,10,9,10,9,9,1.0,0,0.0
exact,0.75,10,10,10,8,10,17,1.7,0,0.0
exact,0.75,11,10,11,8,10,17,1.7,0,0.0
exact,0.75,12,10,12,8,10,17,1.7,0,0.0
exact,0.75,13,10,13,8,10,17,1.7,0,0.0
exact,0.75,14,10,14,8,10,17,1.7,0,0.0
exact,0.75,15,10,15,8,10,17,1.7,0,0.0
exact,0.75,16,10,16,8,10,17,1.7,0,0.0
exact,0.75,17,10,17,8,10,17,1.7,0,0.0
exact,0.75,18,10,18,8,10,17,1.7,0,0.0
exact,0.75,19,10,19,8,10,17,1.7,0,0.0
exact,0.75,20,10,20,8,10,17,1.7,0,0.0
exact,0.75,21,10,21,8,10,17,1.7,0,0.0
exact,0.75,22,10,22,8,10,17,1.7,0,0.0
exact,0.75,23,10,23,8,10,17,1.7,0,0.0
exact,0.75,24,10,24,8,10,17,1.7,0,0.0
