algorithm,T,B,p,lambda,confidence,buy_day,OPT,ALG,cost_ratio,prediction_error,relative_prediction_error
deterministic,1,10,50,0.5,,10,1,1,1.0,49,49.0
prediction_only,1,10,50,,,,1,10,10.0,49,49.0
learning_augmented,1,10,50,0.5,1.0,5,1,1,1.0,49,49.0
trust_aware_c=0.0,1,10,50,0.5,0.0,10,1,1,1.0,49,49.0
trust_aware_c=0.25,1,10,50,0.5,0.25,9,1,1,1.0,49,49.0
trust_aware_c=0.5,1,10,50,0.5,0.5,8,1,1,1.0,49,49.0
trust_aware_c=0.75,1,10,50,0.5,0.75,7,1,1,1.0,49,49.0
trust_aware_c=1.0,1,10,50,0.5,1.0,5,1,1,1.0,49,49.0
deterministic,2,10,50,0.5,,10,2,2,1.0,48,24.0
prediction_only,2,10,50,,,,2,10,5.0,48,24.0
learning_augmented,2,10,50,0.5,1.0,5,2,2,1.0,48,24.0
trust_aware_c=0.0,2,10,50,0.5,0.0,10,2,2,1.0,48,24.0
trust_aware_c=0.25,2,10,50,0.5,0.25,9,2,2,1.0,48,24.0
trust_aware_c=0.5,2,10,50,0.5,0.5,8,2,2,1.0,48,24.0
trust_aware_c=0.75,2,10,50,0.5,0.75,7,2,2,1.0,48,24.0
trust_aware_c=1.0,2,10,50,0.5,1.0,5,2,2,1.0,48,24.0
deterministic,3,10,50,0.5,,10,3,3,1.0,47,15.666666666666666
prediction_only,3,10,50,,,,3,10,3.3333333333333335,47,15.666666666666666
learning_augmented,3,10,50,0.5,1.0,5,3,3,1.0,47,15.666666666666666
trust_aware_c=0.0,3,10,50,0.5,0.0,10,3,3,1.0,47,15.666666666666666
trust_aware_c=0.25,3,10,50,0.5,0.25,9,3,3,1.0,47,15.666666666666666
trust_aware_c=0.5,3,10,50,0.5,0.5,8,3,3,1.0,47,15.666666666666666
trust_aware_c=0.75,3,10,50,0.5,0.75,7,3,3,1.0,47,15.666666666666666
trust_aware_c=1.0,3,10,50,0.5,1.0,5,3,3,1.0,47,15.666666666666666
deterministic,4,10,50,0.5,,10,4,4,1.0,46,11.5
prediction_only,4,10,50,,,,4,10,2.5,46,11.5
learning_augmented,4,10,50,0.5,1.0,5,4,4,1.0,46,11.5
trust_aware_c=0.0,4,10,50,0.5,0.0,10,4,4,1.0,46,11.5
trust_aware_c=0.25,4,10,50,0.5,0.25,9,4,4,1.0,46,11.5
trust_aware_c=0.5,4,10,50,0.5,0.5,8,4,4,1.0,46,11.5
